keys,zh_CN,en
GAME_TITLE,余烬潮汐 Ashen Tides,Ashen Tides
MENU_CONTINUE,继续,Continue
MENU_SETTINGS,设置,Settings
MENU_RESTART,重开本关,Restart Level
MENU_CLOSE,关闭,Close
MENU_SKIP,跳过,Skip
PAUSE_TITLE,暂停,Paused
RESULT_WIN,防线守住了,Victory
RESULT_LOSE,防线崩溃,Defeat
RESULT_MARKS,航标印记,Beacon Marks
RESULT_INTEGRITY,舰队完整度,Fleet Integrity
RESULT_KILLS,击杀,Kills
RESULT_LEAKS,漏怪,Leaks
RESULT_TIME,用时,Time
RESULT_REPORT,战报,Battle Report
RESULT_LEAK_TOP,漏怪构成,Leak Breakdown
RESULT_DAMAGE,伤害构成,Damage by Type
RESULT_FIRST_BREACH,首次破防波次,First Breach Wave
RESULT_UNCOVERED,未覆盖威胁标签,Uncovered Threat Tags
RESULT_HINTS,复盘建议,Suggestions
RESULT_RESTART_HINT,R 重开 / Esc 关闭,R Restart / Esc Close
HINT_SPLASH,建议：群体敌人漏怪多，补溅射/穿透手段,Tip: swarm leaks — add splash/pierce coverage
HINT_GLOW,建议：重甲漏怪多，补辉光伤害或削甲,Tip: heavy leaks — add glow damage or armor shred
HINT_NONE,防线覆盖良好，无突出短板,Defense coverage looks solid
SETTINGS_TITLE,设置,Settings
SETTINGS_MASTER,主音量,Master Volume
SETTINGS_MUSIC,音乐音量,Music Volume
SETTINGS_SFX,音效音量,SFX Volume
SETTINGS_AMBIENT,环境音量,Ambient Volume
SETTINGS_UI_VOL,界面音量,UI Volume
SETTINGS_UI_SCALE,界面缩放,UI Scale
SETTINGS_COLOR_PRESET,色弱预设,Color Vision Preset
SETTINGS_HIGH_CONTRAST,高对比度,High Contrast
SETTINGS_LOW_FX,低特效,Reduced FX
SETTINGS_AUTOCAST,自动施放辅助,Auto-cast Assist
SETTINGS_LANGUAGE,语言,Language
SETTINGS_KEYS,按键重绑定,Key Rebinding
SETTINGS_RESET_KEYS,恢复默认按键,Reset Default Keys
SETTINGS_PRESS_KEY,请按新按键…,Press a new key…
SETTINGS_CONFLICT,按键冲突：已被占用,Conflict: key already bound
CP_DEFAULT,默认,Default
CP_PROTAN,红色弱,Protanopia
CP_DEUTAN,绿色弱,Deuteranopia
CP_TRITAN,蓝色弱,Tritanopia
LANG_ZH,中文,Chinese
LANG_EN,English,English
TUT_STEP_BUILD,点击发光节点建造第一座塔（Tab 换塔）,Click a glowing node to build (Tab cycles)
TUT_STEP_START,按空格开始第一波,Press Space to start wave 1
TUT_STEP_RANGE,选中塔可查看射程；E 升级、G 出售,Select a tower: E upgrades, G sells
TUT_STEP_UPGRADE,攒够火种后选塔按 E 升级并选模块,With enough ember, press E to upgrade & pick a module
TUT_STEP_PAUSE,P 暂停，=/- 变速，R 重开,P pause, =/- speed, R restart
TUT_DONE,教学完成，祝武运昌隆,Tutorial complete — good luck
TUT_SKIP,F1 跳过教学,F1 skips tutorial
HUD_HINT,左键建塔/选塔 Tab换塔 E升级 G出售 右键移英雄 1/2/3技能 空格开波 P暂停 Esc菜单 =/-变速 ,/.潮汐仪 R重开,LMB build/select Tab cycle E upgrade G sell RMB move hero 1/2/3 skills Space wave P pause Esc menu =/- speed ,/. tide R restart
MODULE_CHOICE_TITLE,选择校准模块（7/8/9，Esc 取消）,Choose a calibration module (7/8/9, Esc cancels)
DEVICE_REPAIR_HINT,英雄驻守装置旁可修复,Hero can repair by standing near the device
HERO_DOWN,英雄倒地，等待复归…,Hero down — awaiting revival…
NOTICE_SUSPEND_FOUND,检测到中断存档：C 继续 / X 放弃,Suspend save found: C resume / X discard
NOTICE_NO_BEACON_ULT,航标充能不足：终极技需要 80,Not enough beacon charge: ultimate needs 80
NOTICE_NO_BEACON_TIDE,航标充能不足：潮汐仪需要 40,Not enough beacon charge: tide clock needs 40
NOTICE_NO_PENDING_PHASE,当前无待切换的相位事件,No pending phase event
NOTICE_CANT_REACH,无法到达：目标在地图外,Cannot reach: target out of map
NOTICE_COOLDOWN_A,钩索转移冷却中,Grapple on cooldown
NOTICE_COOLDOWN_B,照明标记冷却中或无目标,Flare on cooldown or no target
# M2：关卡/塔/敌/英雄/技能/模块/装置/目标的 display_name_key 翻译
LEVEL_C01,C01 离港火线,C01 Departure Fireline
LEVEL_C02,C02 潮门初启,C02 Tide Gate
LEVEL_C03,C03 失火灯塔,C03 Lampfire Beacon
TOWER_NEEDLE_RAIL,针轨弩台,Needle Rail
TOWER_EMBER_WELL,余烬喷井,Ember Well
TOWER_ECHO_PILE,回声桩阵,Echo Pile
HERO_LANZHOU_WEI,岚舟·苇,Lanzhou Wei
ENEMY_SALT_SHELL_WALKER,盐壳行者,Salt Shell Walker
ENEMY_MAST_RAT_SWARM,桅鼠群,Mast Rat Swarm
ENEMY_SPLITFIN_DASHER,裂鳍冲刺者,Splitfin Dasher
ENEMY_RUST_ARMOR_CARRIER,锈甲搬运兽,Rust Armor Carrier
ENEMY_LAMP_LEECH,灯寄生体,Lamp Leech
ENEMY_TIDE_BACK_NAVIGATOR,潮背导航员,Tide Back Navigator
MOD_NEEDLE_LONG_NEEDLE,长针,Long Needle
MOD_NEEDLE_BARB,倒钩,Barb
MOD_NEEDLE_SPEED_WHEEL,速轮,Speed Wheel
MOD_EMBER_WIDE_NOZZLE,扩口,Wide Nozzle
MOD_EMBER_CONDENSED,凝焰,Condensed
MOD_EMBER_TEMPERING,回火,Tempering
MOD_ECHO_SLUGGISH,迟滞弦,Sluggish Chord
MOD_ECHO_BROKEN,断响,Broken Chord
MOD_ECHO_RESONANCE,共振,Resonance
SKILL_GRAPPLE_SHIFT,钩索转移,Grapple Shift
SKILL_FLARE_MARK,照明标记,Flare Mark
SKILL_ROUTE_SWEEP,航线扫掠,Route Sweep
DEVICE_C03_LIGHTHOUSE,失火灯塔装置,Lampfire Lighthouse Device
OBJ_PRIMARY_SURVIVE,守住舰队完整度,Protect Fleet Integrity
OBJ_C01_STRATEGY,在 C01 内完成至少一次塔升级,Upgrade any tower at least once in C01
